id;start_date;end_date;language
1;2020-02-25T06:24:00;2020-02-25T04:14:15;SPANISH
2;2020-02-24T11:14:11;2020-02-25T06:18:36;SPANISH
3;2020-02-25T02:09:30;2020-02-24T12:43:39;FRENCH
4;2020-02-24T17:27:01;2020-02-25T04:58:27;FRENCH
5;2020-02-25T02:57:19;2020-02-25T07:44:18;FRENCH
6;2020-02-24T20:49:40;2020-02-25T08:57:54;FRENCH
7;2020-02-24T22:35:00;2020-02-24T16:25:51;FRENCH
8;2020-02-24T21:31:13;2020-02-25T07:47:21;SPANISH
9;2020-02-24T20:12:22;2020-02-24T16:53:45;SPANISH
10;2020-02-25T04:24:26;2020-02-24T14:58:56;SPANISH
